trials_square_2.thisRepN,trials_square_2.thisTrialN,trials_square_2.thisN,trials_square_2.thisIndex,trials_square.thisRepN,trials_square.thisTrialN,trials_square.thisN,trials_square.thisIndex,trials_square_rec.thisRepN,trials_square_rec.thisTrialN,trials_square_rec.thisN,trials_square_rec.thisIndex,trials_prac2.thisRepN,trials_prac2.thisTrialN,trials_prac2.thisN,trials_prac2.thisIndex,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,text.started,key_resp.started,mouse_4.started,key_resp.keys,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,text_8.started,key_resp_8.started,mouse_5.started,key_resp_8.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,text_level_1.started,text_level_2.started,text_level_1.stopped,text_level_2.stopped,fixation2.started,fixation2.stopped,grid.started,square_rand.started,grid.stopped,square_rand.stopped,squareShown,text_9.started,grid2.started,mouse.started,square_0.started,square_1.started,square_2.started,square_3.started,square_4.started,square_5.started,square_6.started,square_7.started,square_8.started,square_9.started,square_10.started,square_11.started,square_12.started,square_13.started,square_14.started,square_15.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_10.started,grid3.started,square_16.started,square_17.started,square_18.started,square_19.started,square_20.started,square_21.started,square_22.started,square_23.started,square_24.started,square_25.started,square_26.started,square_27.started,square_28.started,square_29.started,square_30.started,square_31.started,text_10.stopped,grid3.stopped,square_16.stopped,square_17.stopped,square_18.stopped,square_19.stopped,square_20.stopped,square_21.stopped,square_22.stopped,square_23.stopped,square_24.stopped,square_25.stopped,square_26.stopped,square_27.stopped,square_28.stopped,square_29.stopped,square_30.stopped,square_31.stopped,text_result_squares.started,text_end_prac.started,mouse_2.started,key_resp_13.started,number_of_correct_squares_clicked,total_squares_clicked,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,key_resp_13.keys,text_square_end.started,text_11.started,key_resp_9.started,mouse_3.started,key_resp_9.keys,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,text_2.started,key_resp_2.started,mouse_6.started,key_resp_2.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,text_3.started,image_sym.started,text_sym_nsym.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.started,image.started,text_sym_nsym_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,fixation.started,fixation.stopped,image_2.started,text_sym_nsym_3.started,text_countdown.started,text_how_many_correct.started,key_resp_6.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.280998400005046,23.78093330003321,23.78093330003321,23.78093330003321,24.430753500026185,24.430753500026185,square_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.430753500026185,24.430753500026185,0.013573999924119562,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,24.430753500026185,[-0.058333333333333334],[0.07685185185185185],[1],[0],[0],[0.45104510005330667],['square_5'],24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,24.89746569999261,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.097245600016322,25.097245600016322,0.006021699984557927,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,25.097245600016322,[0.041666666666666664],[-0.18703703703703703],[1],[0],[0],[0.20976759999757633],['square_14'],25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.313976900011767,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,25.514218700001948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.514218700001948,25.514218700001948,0.005755599995609373,25.514218700001948,2,2,[0.014814814814814815],[-0.07592592592592592],[1],[0],[0],[0.5753551999805495],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.097266099997796,26.097266099997796,28.097359100007452,28.097359100007452,28.097359100007452,28.597156500036363,28.597156500036363,28.597156500036363,29.246934599999804,29.246934599999804,square_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.246934599999804,29.746866400004365,29.746866400004365,29.746866400004365,30.396692500042263,30.396692500042263,square_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.396692500042263,30.896797800029162,30.896797800029162,30.896797800029162,31.54676360002486,31.54676360002486,square_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.54676360002486,31.54676360002486,0.014487499895039946,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,31.54676360002486,[0.21574074074074073],[-0.07685185185185185],[1],[0],[0],[0.25118510000174865],['square_11'],31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,31.81311360001564,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
2,0,2,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.01304940000409,32.01304940000409,0.005271999980323017,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,32.01304940000409,[0.21574074074074073],[-0.07685185185185185],[1],[0],[0],[0.026484799978788942],['square_11'],32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.04646490002051,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
2,0,2,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.24623590003466,32.24623590003466,0.006094000011216849,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,32.24623590003466,[0.21574074074074073],[-0.07685185185185185],[1],[0],[0],[0.04350179998436943],['square_11'],32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.296317200001795,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,32.51306460000342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559497,001,2023-02-01_19h41.48.348,Symmetry_Span_1,2022.2.5,60.14455140926675,
