trials_square_2.thisRepN,trials_square_2.thisTrialN,trials_square_2.thisN,trials_square_2.thisIndex,trials_square.thisRepN,trials_square.thisTrialN,trials_square.thisN,trials_square.thisIndex,trials_square_rec.thisRepN,trials_square_rec.thisTrialN,trials_square_rec.thisN,trials_square_rec.thisIndex,trials_prac2.thisRepN,trials_prac2.thisTrialN,trials_prac2.thisN,trials_prac2.thisIndex,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_both.thisRepN,trials_both.thisTrialN,trials_both.thisN,trials_both.thisIndex,trials_both_square.thisRepN,trials_both_square.thisTrialN,trials_both_square.thisN,trials_both_square.thisIndex,text.started,key_resp.started,mouse_4.started,key_resp.keys,key_resp.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,text_8.started,key_resp_8.started,mouse_5.started,key_resp_8.keys,key_resp_8.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,text_level_1.started,text_level_2.started,text_level_1.stopped,text_level_2.stopped,fixation2.started,fixation2.stopped,grid.started,square_rand.started,squareShown,grid.stopped,square_rand.stopped,text_9.started,grid2.started,square_0.started,square_1.started,square_2.started,square_3.started,square_4.started,square_5.started,square_6.started,square_7.started,square_8.started,square_9.started,square_10.started,square_11.started,square_12.started,square_13.started,square_14.started,square_15.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_10.started,grid3.started,square_16.started,square_17.started,square_18.started,square_19.started,square_20.started,square_21.started,square_22.started,square_23.started,square_24.started,square_25.started,square_26.started,square_27.started,square_28.started,square_29.started,square_30.started,square_31.started,text_10.stopped,grid3.stopped,square_16.stopped,square_17.stopped,square_18.stopped,square_19.stopped,square_20.stopped,square_21.stopped,square_22.stopped,square_23.stopped,square_24.stopped,square_25.stopped,square_26.stopped,square_27.stopped,square_28.stopped,square_29.stopped,square_30.stopped,square_31.stopped,text_result_squares.started,text_end_prac.started,mouse_2.started,key_resp_13.started,number_of_correct_squares_clicked,total_squares_clicked,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,key_resp_13.keys,text_square_end.started,text_11.started,key_resp_9.started,mouse_3.started,key_resp_9.keys,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,text_2.started,key_resp_2.started,mouse_6.started,key_resp_2.keys,key_resp_2.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,text_3.started,image_sym.started,text_sym_nsym.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,text_4.started,image.started,text_sym_nsym_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_5.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,fixation.started,image_2.started,text_sym_nsym_3.started,text_countdown.started,text_how_many_correct.started,key_resp_6.started,fixation.stopped,key_resp_6.keys,key_resp_6.rt,image_3.started,image_4.started,SymmAnswer,text_6.started,text_score.started,text_7.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_12.started,key_resp_10.started,key_resp_10.keys,key_resp_10.rt,text_both_level_1.started,text_both_level_2.started,text_both_level_1.stopped,text_both_level_2.stopped,fixation_both.started,fixation_both.stopped,grid_both.started,square_rand_both.started,grid_both.stopped,square_rand_both.stopped,fixation_both_2.started,fixation_both_2.stopped,image_2_both.started,text_sym_nsym_3_both.started,text_countdown_both.started,text_how_many_correct_both.started,key_resp_6_both.started,key_resp_6_both.keys,key_resp_6_both.rt,image_3_both.started,image_4_both.started,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.831403699994553,19.33129609999014,19.33129609999014,19.33129609999014,square_7,19.98154519998934,19.98154519998934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,19.98154519998934,0.014006499957758933,[0.23333333333333334],[-0.19537037037037036],[1],[0],[0],[0.01719529996626079],['square_15'],20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.014589600032195,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,20.214587300026324,0.006053199991583824,[0.23333333333333334],[-0.19537037037037036],[1],[0],[0],[0.07643899996764958],['square_15'],20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.297818700026255,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,20.497963200032245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.497963200032245,20.497963200032245,0.0060594999813474715,20.497963200032245,0,2,[0.23333333333333334],[-0.19537037037037036],[1],[0],[0],[0.0919582000351511],None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.598123300005682,20.598123300005682,22.597604700014926,22.597604700014926,22.597604700014926,23.097729100030847,23.097729100030847,23.097729100030847,square_1,23.74763380002696,23.74763380002696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74763380002696,24.247364300012123,24.247364300012123,24.247364300012123,square_8,24.897429500008002,24.897429500008002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.897429500008002,25.39736930001527,25.39736930001527,25.39736930001527,square_7,26.047259900020435,26.047259900020435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,26.047259900020435,0.01426319993333891,[0.23333333333333334],[-0.19537037037037036],[0],[0],[1],[0.05055929999798536],['square_15'],26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.113714200037066,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
2,0,2,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,26.313826900033746,0.007240000006277114,[0.23333333333333334],[-0.19537037037037036],[0],[0],[1],[0.04178169998340309],['square_15'],26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.363650700019207,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
2,0,2,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,26.563528900034726,0.007193599944002926,[0.23333333333333334],[-0.19537037037037036],[0],[0],[1],[0.042297700012568384],['square_15'],26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.613530200032983,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,26.830563299998175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703791,001,2023-02-01_20h14.27.107,Symmetry_Span_1,2022.2.5,59.746864483716465,
