trials_square_2.thisRepN,trials_square_2.thisTrialN,trials_square_2.thisN,trials_square_2.thisIndex,trials_square.thisRepN,trials_square.thisTrialN,trials_square.thisN,trials_square.thisIndex,trials_square_rec.thisRepN,trials_square_rec.thisTrialN,trials_square_rec.thisN,trials_square_rec.thisIndex,text.started,key_resp.started,mouse_4.started,key_resp.keys,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,text_8.started,key_resp_8.started,mouse_5.started,key_resp_8.keys,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,text_level_1.started,text_level_2.started,text_level_1.stopped,text_level_2.stopped,fixation2.started,fixation2.stopped,grid.started,square_rand.started,squareShown,grid.stopped,square_rand.stopped,text_9.started,grid2.started,square_0.started,square_1.started,square_2.started,square_3.started,square_4.started,square_5.started,square_6.started,square_7.started,square_8.started,square_9.started,square_10.started,square_11.started,square_12.started,square_13.started,square_14.started,square_15.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_10.started,grid3.started,square_16.started,square_17.started,square_18.started,square_19.started,square_20.started,square_21.started,square_22.started,square_23.started,square_24.started,square_25.started,square_26.started,square_27.started,square_28.started,square_29.started,square_30.started,square_31.started,text_10.stopped,grid3.stopped,square_16.stopped,square_17.stopped,square_18.stopped,square_19.stopped,square_20.stopped,square_21.stopped,square_22.stopped,square_23.stopped,square_24.stopped,square_25.stopped,square_26.stopped,square_27.stopped,square_28.stopped,square_29.stopped,square_30.stopped,square_31.stopped,text_result_squares.started,text_end_prac.started,mouse_2.started,key_resp_13.started,number_of_correct_squares_clicked,total_squares_clicked,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,key_resp_13.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,9.600967800011858,9.600967800011858,4.4700049329549074e-05,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
,,,,,,,,,,,,,,,,[-0.08518518518518518],[0.10555555555555556],[1],[0],[0],[0.9028341000084765],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
,,,,,,,,,,,,,,,,,,,,,,10.500754300039262,10.500754300039262,3.7699996028095484e-05,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
,,,,,,,,,,,,,,,,,,,,,,,,,,[-0.0824074074074074],[0.05555555555555555],[1],[0],[0],[0.34881690004840493],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.732948800025042,24.233975600043777,24.233975600043777,24.233975600043777,square_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,24.89925920002861,0.013145799923222512,[0.07407407407407407],[-0.09074074074074075],[1],[0],[0],[1.700724700000137],['square_10'],26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.59864100004779,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,26.800321600050665,0.006058099970687181,[-0.2101851851851852],[0.2212962962962963],[1],[0],[0],[2.2609408000134863],['square_0'],29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,29.082203500031028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.282853700045962,29.282853700045962,0.018877399968914688,29.282853700045962,1,2,[0.05092592592592592],[0.06944444444444445],[1],[0],[0],[3.8561866999953054],None,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,33.14920330001041,33.14920330001041,35.14907340001082,35.14907340001082,35.14907340001082,35.649402800016105,35.649402800016105,35.649402800016105,square_15,36.298898600041866,36.298898600041866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.298898600041866,36.79971140000271,36.79971140000271,36.79971140000271,square_5,37.4487947000307,37.4487947000307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4487947000307,37.949318400002085,37.949318400002085,37.949318400002085,square_2,38.59953130001668,38.59953130001668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,38.59953130001668,0.013745399948675185,[0.23425925925925925],[-0.09722222222222222],[1],[0],[0],[0.5342019000090659],['square_11'],39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,39.1637523000245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
2,0,2,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,39.363844500039704,0.01960439997492358,[0.07314814814814814],[0.0787037037037037],[1],[0],[0],[0.1948489000205882],['square_6'],39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.566064700018615,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
2,0,2,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,39.780718000023626,0.006626999995205551,[-0.0824074074074074],[-0.07314814814814814],[1],[0],[0],[0.14027530001476407],['square_9'],39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,39.91363350005122,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,40.147507500019856,,,,,,,,,,,,,,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.147507500019856,40.147507500019856,0.006570999976247549,40.147507500019856,0,3,[-0.009259259259259259],[0.004629629629629629],[1],[0],[0],[0.5542042999877594],None,198497,001,2023-02-01_23h24.42.325,Symmetry_Span_1,2022.2.5,60.72530301377541,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.69735720002791,40.69735720002791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
